parentjobid;parentjobname;jobid;parent_job_id;jobname;jobcommandtype;jobprogress;jobpriority;jobstate;id;taskindex;externalid;taskname;taskstate;command_line;command_exe;command_args
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;11;2;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_1;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_2_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_2_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;12;3;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_2;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_3_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_3_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;13;4;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_3;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_4_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_4_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;14;5;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_4;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_5_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_5_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;15;6;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_5;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_6_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_6_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;16;7;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_6;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_7_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_7_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;17;8;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_7;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_8_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_8_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;18;9;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_8;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_9_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_9_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;19;10;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_9;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_10_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_10_1.xml
37;X_Omen Savings Cas 02 OmenLaunch;2;1;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1;1;0;Lowest;Created;20;11;;X_Omen Savings Cas 02 OmenLaunch_sto_pricer_1_10;Created;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe params_stochastic_pricer_11_1.xml;\\cvsagg904\work\applinx_moses\13199938665250817597705331925\2026.01.00_merge_infra_vprod_vrepartprop_vcdr\OmenRun\bin\Release\OmenRun.exe;params_stochastic_pricer_11_1.xml
